Record ID,Whop Community,Question,Answer
f843b680-c87c-4722-b411-535665f03d17,RakeTrades Mastermind,What is the difference between Mastermind and Membership?,Mastermind is a 3-4 week live course with lifetime content access. Membership perks are temporary during the course.
f843b680-c87c-4722-b411-535665f03d17,RakeTrades Mastermind,Is RakeTrades a licensed advisor?,RakeTrades is not registered as an investment advisor or broker/dealer with any regulatory authority. Content is for educational purposes only.
f843b680-c87c-4722-b411-535665f03d17,RakeTrades Mastermind,How do I get customer support?,In Discord
f843b680-c87c-4722-b411-535665f03d17,RakeTrades Mastermind,What is your cancelation policy?,Cancel via Whop Dashboard before your invoice date or email callan@raketradesllc.com if you face issues.
f843b680-c87c-4722-b411-535665f03d17,RakeTrades Mastermind,What is your refund policy?,Paid fees are non-refundable. Requests may be considered case-by-case. Email callan@raketradesllc.com.
caed0890-5ea6-4a59-a816-dd7f0fc27a56,&thejuice.,What is the $197 Initial Fee?,One-time Founder’s Fee that unlocks exclusive perks. After 6 months
caed0890-5ea6-4a59-a816-dd7f0fc27a56,&thejuice.,Who is this course for?,nAnyone serious about mastering trading whether you’re a complete beginner or looking to sharpen your skills.
caed0890-5ea6-4a59-a816-dd7f0fc27a56,&thejuice.,What will I learn in this course?,You’ll master proven strategies
caed0890-5ea6-4a59-a816-dd7f0fc27a56,&thejuice.,Do I need prior trading experience to join?,No
caed0890-5ea6-4a59-a816-dd7f0fc27a56,&thejuice.,What makes this course different from others?,It focuses on discipline
c67f986e-7dd9-4b0c-bf18-1906ee19b4e3,Master Trader Club,What language will the Mentorship be?,Hebrew.
c67f986e-7dd9-4b0c-bf18-1906ee19b4e3,Master Trader Club,Is there a fee for joining the waitlist?,No
bf50d582-dfe5-472f-93f1-54b2100f61e4,Derivatives Trading,Langage ? Language ?,Français English
bf50d582-dfe5-472f-93f1-54b2100f61e4,Derivatives Trading,A qui s'adresse le service Discord ?,Toutes personnes désireuses d'apprendre et/ou de s'améliorer dans le trading des options et futures
62e0d170-efa3-48a5-889a-f7169cc00076,Gemify All Courses Bundle,Which course is right for me?,If you are a complete beginner
62e0d170-efa3-48a5-889a-f7169cc00076,Gemify All Courses Bundle,Is it a one-time payment?,Yes
62e0d170-efa3-48a5-889a-f7169cc00076,Gemify All Courses Bundle,What can I trade with your strategies?,These strategies have been tested with forex
2645da75-04b4-4999-800c-7b4e10d5945f,Wolf Pack Pro Copy Trading,Can I Copy Your Trades?,Yes! In the Weekly report
2645da75-04b4-4999-800c-7b4e10d5945f,Wolf Pack Pro Copy Trading,What type of assets do the alerts cover?,Alerts cover Forex
2645da75-04b4-4999-800c-7b4e10d5945f,Wolf Pack Pro Copy Trading,Can I cancel my subscription at any time?,Yes
2645da75-04b4-4999-800c-7b4e10d5945f,Wolf Pack Pro Copy Trading,What Broker Should I Use?!,For Funded Trading Hydrafunding.io. For Crypto Altcoins
2645da75-04b4-4999-800c-7b4e10d5945f,Wolf Pack Pro Copy Trading,What Do You Trade?,Crypto
4f3f9ea2-6409-4138-a5d0-d37a6f1206b8,EmmanuelTrades Mentorship,Is this community good for beginners?,Absolutely! Emmanuel will walk you step by step on how to begin your trading journey no matter what your experience is.
4f3f9ea2-6409-4138-a5d0-d37a6f1206b8,EmmanuelTrades Mentorship,What if I don't have capital to start trading?,The community will walk you through exactly how to start making money without risking your own capital.
4f3f9ea2-6409-4138-a5d0-d37a6f1206b8,EmmanuelTrades Mentorship,Can I cancel at anytime?,Absolutely!
4f3f9ea2-6409-4138-a5d0-d37a6f1206b8,EmmanuelTrades Mentorship,Does it matter where I'm from around the world?,Nope! Emmanuel built the community to help aspiring traders from all around the world.
4f3f9ea2-6409-4138-a5d0-d37a6f1206b8,EmmanuelTrades Mentorship,Can I start trading even if I'm under 18?,100%! The sooner you start... The more you can make.
de98b90e-ae0d-4e50-8fa9-31ccaf62e56b,NPZ Trading,How much money do I need to start ?,Nothing
de98b90e-ae0d-4e50-8fa9-31ccaf62e56b,NPZ Trading,What can I expect from live sessions?,You'll witness expert traders break down charts and execute trades in real-time
de98b90e-ae0d-4e50-8fa9-31ccaf62e56b,NPZ Trading,Can I interact with the mentors during live sessions?,Yes
de98b90e-ae0d-4e50-8fa9-31ccaf62e56b,NPZ Trading,What makes NPZ Trading unique?,We focus on not just signals
d612d143-fed3-4dd0-9b37-e56f128037e5,Peachy Investor Trading School,Is there a commitment/how to cancel?,No
d612d143-fed3-4dd0-9b37-e56f128037e5,Peachy Investor Trading School,Will you teach me how to fish for myself?,This group was founded on education and creating independent traders
d612d143-fed3-4dd0-9b37-e56f128037e5,Peachy Investor Trading School,Can I start if I know absolutely nothing about trading/investing?,YES. I created the New Trader Course for people who are brand new to the concept of trading and investing.
0184bdc7-46ad-40bd-9a93-68723c866bbb,Capital Hill Trading Coaching,What is a broker?,A broker is a service that helps you buy and sell financial instruments like stocks
0184bdc7-46ad-40bd-9a93-68723c866bbb,Capital Hill Trading Coaching,What is day trading?,Day trading involves buying and selling within the same day to profit from short-term price movements.
0184bdc7-46ad-40bd-9a93-68723c866bbb,Capital Hill Trading Coaching,What is swing trading?,Swing trading involves holding trades for several days or weeks to profit from price swings.
0184bdc7-46ad-40bd-9a93-68723c866bbb,Capital Hill Trading Coaching,What are some good book recommendations?,Trading in the Zone by Mark Douglas The Best Loser Wins by Tom Hougaard Atomic Habits by James Clear
fd7f2ccf-9e4d-4797-86b1-20ceed053e31,Market Fluidity University,What is your refund policy?,For subscription services
fd7f2ccf-9e4d-4797-86b1-20ceed053e31,Market Fluidity University,How long will it take me to learn?,This course will guide you step-by-step. You can learn on your own time. Typically it takes 3 months to grasp basics.
8a54045d-d65b-4ab7-b622-570b838044de,Forex University VIP,What does the Full Mentorship feature include?,Our Full Mentorship includes 1 on 1 Facetimes
8a54045d-d65b-4ab7-b622-570b838044de,Forex University VIP,What is included in the Full Mentorship package?,The Full Mentorship package includes Live Weekly Trading Classes
d332bd93-2552-4485-9f20-a737d1ced83d,TSA Clothing & Trading,What's Your Refund Policy?,We do not offer any refunds for any reason. You can cancel at anytime.
d332bd93-2552-4485-9f20-a737d1ced83d,TSA Clothing & Trading,How Do I Cancel My Subscription?,Cancel through your Whop account or use live links in our community.
d332bd93-2552-4485-9f20-a737d1ced83d,TSA Clothing & Trading,When Will I See Results?,Results depend on your activity and consistency. Success can be seen within 24 hours.
d332bd93-2552-4485-9f20-a737d1ced83d,TSA Clothing & Trading,How Do I Access The Courses?,Access courses via your Whop account as long as you're subscribed.
d332bd93-2552-4485-9f20-a737d1ced83d,TSA Clothing & Trading,Will You Help Me With Starting My Business?,Yes! We help new u0026 existing business owners get their first sale u0026 viral video ASAP!
9c17e360-6c96-4b3d-8c97-a730cff4df7c,Trade Wise Academy,❓ Δεν έχω εμπειρία στο trading. Είναι αυτή η συνδρομή κατάλληλη για μένα;,✅ Απολύτως! Η Trade Wise Academy Membership έχει σχεδιαστεί τόσο για αρχάριους όσο και για προχωρημένους traders.
9c17e360-6c96-4b3d-8c97-a730cff4df7c,Trade Wise Academy,❓ Πώς ακριβώς λειτουργεί το Live Mentoring και το Qu0026A;,✅ Κάθε εβδομάδα κάνουμε Live Qu0026A Sessions
9c17e360-6c96-4b3d-8c97-a730cff4df7c,Trade Wise Academy,❓  Τι είναι funded account?,✅ Εταιρίες που σε χρηματοδοτούν με κεφάλαια για να κάνεις Live trading χωρίς να ρισκάρεις δικά σου κεφάλαια.
9c17e360-6c96-4b3d-8c97-a730cff4df7c,Trade Wise Academy,❓ Τι γίνεται αν έχω ερωτήσεις ή χρειάζομαι βοήθεια;,✅ Έχεις 24/7 πρόσβαση στην ομάδα υποστήριξης και στην κοινότητά μας. Δεν είσαι απλά μια συνδρομή – είσαι μέλος κοινότητα;
9c17e360-6c96-4b3d-8c97-a730cff4df7c,Trade Wise Academy,❓Πόσο χρόνο χρειάζεται για να δω αποτελέσματα;,✅ Εξαρτάται από τη δέσμευσή σου
c15ed69a-8f7c-463e-b88e-e7ff28f66f05,Trading Louis Full Course,What's your refund policy?,I do not offer refunds once you have purchased the full course you will have access to all of the content forever!
c15ed69a-8f7c-463e-b88e-e7ff28f66f05,Trading Louis Full Course,How often are market videos updated?,Market videos are regularly updated to provide the latest trading insights.
93406acf-51a4-4f76-9675-65c89c3b5570,WWA 7 Day Course,How can I access the daily live streams?,Daily live streams are available through our Discord server after signing up!nn
93406acf-51a4-4f76-9675-65c89c3b5570,WWA 7 Day Course,Is this suitable for beginners?,Yes! Our program is designed for traders of all levels
57d47335-dffa-404e-acd7-8baaaae44bb3,NavigationTrading Pro,Can I talk to someone if I have questions?,Absolutely! You can email questions to support@navigationtrading.com or book a call. https://calendly.com/navigationtrading
57d47335-dffa-404e-acd7-8baaaae44bb3,NavigationTrading Pro,Do you offer a trial membership?,We offer a monthly membership that can be cancelled anytime. Most of our members start with the monthly option
57d47335-dffa-404e-acd7-8baaaae44bb3,NavigationTrading Pro,Can I copy your trade alerts without learning the actual strategies?,We do not suggest every copying someone else's trades without fully understanding the strategy. We provide step-by-step training for all strategies.
57d47335-dffa-404e-acd7-8baaaae44bb3,NavigationTrading Pro,How much money do I need to trade your strategies?,Many of our strategies can be traded with just a few hundred dollars. Most brokers require at least a couple thousand dollars to qualify for a 'margin account'
54632c52-0e37-4197-9819-e99a51eb5c1d,Gold Add-On (VIP Required),Do I need any trading experience to start learning how to trade?,No
54632c52-0e37-4197-9819-e99a51eb5c1d,Gold Add-On (VIP Required),Do I need to be good with a computer and software in order to start training?,Basic understanding of how a computer and programs would be helpful. You will learn as you go but the basic functionality will be helpful. Some programs used: Webull
54632c52-0e37-4197-9819-e99a51eb5c1d,Gold Add-On (VIP Required),I just signed up for a paid membership,Make sure you check out the Discord area new members start here section towards the top of the server. We host weekly onboarding sessions for new members that have questions on familiarization and how to start.
54632c52-0e37-4197-9819-e99a51eb5c1d,Gold Add-On (VIP Required),Can I start with a premium monthly to see if it's the right fit for me and then upgrade to VIP or VIP Gold after?,Yes
54632c52-0e37-4197-9819-e99a51eb5c1d,Gold Add-On (VIP Required),Is the VIP Gold (add on) all the services?,No
e47f67f5-1004-40b4-b396-18945425cc6e,NFX Trading Mentorship,What is included in the Trading Course?,The course includes 60+ videos ( Psychology and Trading Strategy )
e47f67f5-1004-40b4-b396-18945425cc6e,NFX Trading Mentorship,How often are new updates provided?,New updates and videos are added regularly to keep developing our trading edge
e47f67f5-1004-40b4-b396-18945425cc6e,NFX Trading Mentorship,What is the Daily Analysis?,I provide market updates and possible trading setups on all the pairs requested
e47f67f5-1004-40b4-b396-18945425cc6e,NFX Trading Mentorship,Do you provide signals?,I issue Trade Alerts when I execute a position on my main portfolio. This is to help people earn money while learning
e47f67f5-1004-40b4-b396-18945425cc6e,NFX Trading Mentorship,How long it will take me to become profitable?,This course will guide you step by step in your journey. Take your time to learn at your own pace.
5e29b439-3e92-4c7f-9516-f3ef8d3f280b,The Fractal Wave,If I Have Any Questions While Watching The Course,Yep! I'm here to help so if you have any questions
5e29b439-3e92-4c7f-9516-f3ef8d3f280b,The Fractal Wave,I Am Not Fluent In English,Yes of course! The videos have subtitles so you can follow easily! English isn't by first language so I completely understand
5e29b439-3e92-4c7f-9516-f3ef8d3f280b,The Fractal Wave,Can I Have A Preview Of What's Included In The VIP Channels?,Yes of course ^^ See my video of presentation (the first one on top of the website). It shows you what's included!
5e29b439-3e92-4c7f-9516-f3ef8d3f280b,The Fractal Wave,Do You Accept Crypto Or PayPal Payments?,Yes! I do accept USDT/USDC and PayPal payments! Just contact me on Discord or Instagram if you want to pay that way!
5e29b439-3e92-4c7f-9516-f3ef8d3f280b,The Fractal Wave,Can I Have More Personal 1-1 Mentoring With You?,Yes 100%! I offer a personal coaching plan for serious traders and people that want to succeed way faster!
3a3a1437-33d2-4ef2-8fb2-a684db6a79a1,Polihedge,What do I get?,You get research and insights on upcoming political events and how they'll effect the market and stocks.
3a3a1437-33d2-4ef2-8fb2-a684db6a79a1,Polihedge,There's one tier,Are additional paywalled posts that are more technical/risk that you can purchase. Most are free to regular $47/mo members.
3a3a1437-33d2-4ef2-8fb2-a684db6a79a1,Polihedge,Will I have access to conference calls?,Yes and you can ask a question during those monthly calls. You're getting $400/hr of value for just $47/mo!
3a3a1437-33d2-4ef2-8fb2-a684db6a79a1,Polihedge,Are conference calls recorded?,No. Conference calls are live events. I record them and others are not authorized under our Terms. Playback at my discretion.
fb2a079f-6c10-4ae1-9fed-d30ef84beb58,3M Trading VIP Group Access,What's the refund policy?,We do not offer refunds on any purchases. Once a purchase is completed
fb2a079f-6c10-4ae1-9fed-d30ef84beb58,3M Trading VIP Group Access,Can I participate with a full-time job?,Yes! Trading is something that you can learn at your own pace
fb2a079f-6c10-4ae1-9fed-d30ef84beb58,3M Trading VIP Group Access,Is the mentorship suitable for beginners?,Absolutely. 3M Trading provides A-Z training for traders at all levels.nn
63d5e5f1-54e9-4c54-a31b-99e9866a0cc4,TomTrades Premium,How can I access the trading resources?,Once you join
63d5e5f1-54e9-4c54-a31b-99e9866a0cc4,TomTrades Premium,What if I have questions during the mentorship?,You can send me a DM on Discord at any time. My username is itstomtrades.
5a917f0b-bcd5-4eaa-a8a7-1e6d783a421e,Top Floor Trading Discord,What's the difference between your free telegram and your private discord?,The private discord offers hands-on trading guidance
5a917f0b-bcd5-4eaa-a8a7-1e6d783a421e,Top Floor Trading Discord,What all do you trade?,Forex
5a917f0b-bcd5-4eaa-a8a7-1e6d783a421e,Top Floor Trading Discord,Will this group work if I trade options or futures?,Yes
5a917f0b-bcd5-4eaa-a8a7-1e6d783a421e,Top Floor Trading Discord,When do you trade?,We host an AM u0026 PM session EST with live analysis an hour before markets open.
29de12d0-0678-44f9-8dc7-9ddb421e2821,Meme Mafia,Can I hold you liable for any losses?,No
29de12d0-0678-44f9-8dc7-9ddb421e2821,Meme Mafia,What are the risks of investing in cryptocurrencies?,Cryptocurrencies can be highly volatile and may lead to significant losses
29de12d0-0678-44f9-8dc7-9ddb421e2821,Meme Mafia,Are memecoins a good investment?,Memecoins can be highly volatile and risky. While some have seen massive gains.
29de12d0-0678-44f9-8dc7-9ddb421e2821,Meme Mafia,How can I track memecoin prices?,You can track prices on cryptocurrency market websites like CoinMarketCap
29de12d0-0678-44f9-8dc7-9ddb421e2821,Meme Mafia,What are the risks associated with memecoins?,Memecoins can be subject to pump-and-dump schemes
51792c1b-0108-407a-9d8f-fdbc0c425cf0,ADT FREE AREA,Do I need any trading experience to start learning how to trade?,No
51792c1b-0108-407a-9d8f-fdbc0c425cf0,ADT FREE AREA,Do I need to be good with a computer and software in order to start training?,Basic understanding of how a computer and programs would be helpful.
51792c1b-0108-407a-9d8f-fdbc0c425cf0,ADT FREE AREA,I just signed up for a paid membership,Check out the Discord area 'new members start here' section towards the top.
51792c1b-0108-407a-9d8f-fdbc0c425cf0,ADT FREE AREA,Can I start with a premium monthly to see if it's the right fit for me and then upgrade to VIP or VIP Gold after?,Yes
51792c1b-0108-407a-9d8f-fdbc0c425cf0,ADT FREE AREA,Is the VIP Gold (add on) all the services?,No
04f19ecb-0c01-4ec3-8cbb-caafaca20499,⭐ The Alpha Club (Private),What if I'm new to crypto?,We account for this
04f19ecb-0c01-4ec3-8cbb-caafaca20499,⭐ The Alpha Club (Private),What Premium discord/Telegram channels do I unlock?,ALL OF THEM!
04f19ecb-0c01-4ec3-8cbb-caafaca20499,⭐ The Alpha Club (Private),Will Matt be in the premium chats to assist me?,This is my main focus
428851db-a82f-4a85-8176-f63361bba77a,The Currency Merchant Library,Are there any prerequisites for joining the VIP Community?,While there are no specific prerequisites
428851db-a82f-4a85-8176-f63361bba77a,The Currency Merchant Library,Can I access past recordings of premium calls if I miss them live?,Absolutely! As a VIP member
428851db-a82f-4a85-8176-f63361bba77a,The Currency Merchant Library,How can I connect with other members of the VIP Community?,You can connect with fellow TCM VIP members through our Discord server
428851db-a82f-4a85-8176-f63361bba77a,The Currency Merchant Library,How much does the TCM Membership cost?,The TCM Membership is priced at $100 per month
428851db-a82f-4a85-8176-f63361bba77a,The Currency Merchant Library,Is there a refund policy for the TCM Membership?,At TCM
21d17101-e0a7-4c7a-ba76-eda493052355,Golden Bullet Mentorship,What is your risk disclosure statement?,https://cdn.cboe.com/resources/general/Combined_Risk_Disclosure_Statement_for_Futures_and_Options.pdf
21d17101-e0a7-4c7a-ba76-eda493052355,Golden Bullet Mentorship,Is there a refund policy?,There is a strict NO REFUNDS policy for this mentorship program.
a617e82d-78ba-45d0-944b-7e465cfeb764,The OHLC Academy,Can new traders join too?,Yes
a617e82d-78ba-45d0-944b-7e465cfeb764,The OHLC Academy,What indicators are included during the 90-day program?,At the Academy
a617e82d-78ba-45d0-944b-7e465cfeb764,The OHLC Academy,Is new content regularly added to the video content?,Yes! We're always adding fresh
a617e82d-78ba-45d0-944b-7e465cfeb764,The OHLC Academy,What types of trading concepts will I learn?,You’ll dive into the simplest way to trade you’ve ever seen in your life
299b6cc5-0b11-4e05-8b03-b30ef6888c0c,Gencorp Trading Elite,What is Gencorp Elite Trading (All Access)?,It’s a membership offering exclusive trading strategies
299b6cc5-0b11-4e05-8b03-b30ef6888c0c,Gencorp Trading Elite,How do I access the strategies?,Strategies
299b6cc5-0b11-4e05-8b03-b30ef6888c0c,Gencorp Trading Elite,Can I get personal trading advice?,Yes
299b6cc5-0b11-4e05-8b03-b30ef6888c0c,Gencorp Trading Elite,Is there a community to connect with?,Yes
299b6cc5-0b11-4e05-8b03-b30ef6888c0c,Gencorp Trading Elite,What is the AI Indicator?,Soon
e032084d-bc71-4284-9a09-bf0101b9d9ec,King Abe Trades,What's your Refund Policy?,We don't offer refunds but you can cancel anytime
e032084d-bc71-4284-9a09-bf0101b9d9ec,King Abe Trades,What does this Discord community offer?,Our discord community offers an opportunity for Intermediate traders to join other intermediate traders on their trading journey to becoming profitable traders (Learn u0026 Earn).
e032084d-bc71-4284-9a09-bf0101b9d9ec,King Abe Trades,Disclaimer,I am not a licensed/certified financial planner/advisor. All content of this chatroom is for education purposes only. Phoenix Fx LLC and King Abe Forex will not be held liable for any actions taken by you as a result of what you learn or see. What I teach is perspective only; any trades taken
61a0fe1d-358b-4483-af42-4ce48fc26a8f,New Age Trading Premium,What is your refund/cancellation policy?,This is a monthly subscription. We do not offer refunds
61a0fe1d-358b-4483-af42-4ce48fc26a8f,New Age Trading Premium,Is this group for all ages?,Yes
61a0fe1d-358b-4483-af42-4ce48fc26a8f,New Age Trading Premium,Who should NOT buy this?,Not for those seeking alert systems or unwilling to learn trading independently.
61a0fe1d-358b-4483-af42-4ce48fc26a8f,New Age Trading Premium,I have no experience in the stock market,Yes
61a0fe1d-358b-4483-af42-4ce48fc26a8f,New Age Trading Premium,I don't trust online trading groups,Our team has 15+ years in trading education. Cancel anytime if unsatisfied.
d4fb1011-c583-4bd3-9818-ba97a0000429,Premium Collection Academy,Do I need prior trading experience?,While some basic knowledge of the stock market is helpful
d4fb1011-c583-4bd3-9818-ba97a0000429,Premium Collection Academy,How is options selling different from options buying?,Selling Options: Focuses on collecting premiums and profiting from time decay and market stability. You pay yourself first.n
d4fb1011-c583-4bd3-9818-ba97a0000429,Premium Collection Academy,How much capital do I need to start options selling?,Enough to buy at least 100 shares of any stock. A higher presence of cash in a brokerage account will benefit you more.
d4fb1011-c583-4bd3-9818-ba97a0000429,Premium Collection Academy,Will This Really Benefit Me?,Less than 2% of the world population knows how to sell options. That 1% of people are some of the richest people in the world
d4fb1011-c583-4bd3-9818-ba97a0000429,Premium Collection Academy,Does the course include mentorship or support?,Direct mentorship or coaching.nAccess to a community or forum of fellow students.nOngoing support via webinars u0026 premium chat
719b68b2-a507-4248-a552-f756e17b30c0,NavigationTrading Day Trading,Can I talk to someone if I have questions?,Absolutely! You can email questions to support@navigationtrading.com or schedule a zoom call.
719b68b2-a507-4248-a552-f756e17b30c0,NavigationTrading Day Trading,Do you offer a trial membership?,We offer a monthly membership that can be cancelled anytime. Many members upgrade to annual for cost savings.
719b68b2-a507-4248-a552-f756e17b30c0,NavigationTrading Day Trading,Can I copy your trade alerts without learning the actual strategies?,We don't recommend copying trades without understanding the strategy. We provide training for all strategies.
719b68b2-a507-4248-a552-f756e17b30c0,NavigationTrading Day Trading,How much money do I need to trade your strategies?,Many strategies can be traded with a few hundred dollars
ec69bb2c-74e2-4931-bdf3-3288d7595383,PRISM Pro,What's the difference between PRISM Pro and PRISM Pro+?,PRISM Pro+ includes an additional indicator PRISM-X
ec69bb2c-74e2-4931-bdf3-3288d7595383,PRISM Pro,What timeframes does PRISM Pro work on?,PRISM Pro works on all timeframes
ec69bb2c-74e2-4931-bdf3-3288d7595383,PRISM Pro,What sessions does PRISM Pro work with?,PRISM Pro works with 5 sessions for NQ (Asia
ec69bb2c-74e2-4931-bdf3-3288d7595383,PRISM Pro,What asset classes does PRISM Pro work with?,NASDAQ futures (NQ / MNQ)
0db13cd1-8ca5-4438-adc5-b5b3978b2568,Champs Only (Credit Card),Do you have a refund policy?,You can ask for a refund within 24h of joining and we'll refund you in FULL
0db13cd1-8ca5-4438-adc5-b5b3978b2568,Champs Only (Credit Card),I'm brand new to crypto,Absolutely! Our community is newbie friendly with 1:1 support to help you get started.
47736b3f-8ff6-4ba7-a465-c07f49f57cd5,Vera Witty FX Forexkurs,Wie lange tradest du schon?,Ich trade seit 2017
47736b3f-8ff6-4ba7-a465-c07f49f57cd5,Vera Witty FX Forexkurs,Tradest du in Vollzeit?,Ja
4ff214dd-cc78-48e2-b4d5-285d8b7da320,The Haven,Q: Does this include stock/calls/options as well or just crypto?,A: Yes
4ff214dd-cc78-48e2-b4d5-285d8b7da320,The Haven,Q: Is there an option for just 1 month membership so I can try it out?,Yes! There are 4 payment options: n1) 1 month crypto
4ff214dd-cc78-48e2-b4d5-285d8b7da320,The Haven,Q: If I join at the end of month,A: Regardless of when you join
4ff214dd-cc78-48e2-b4d5-285d8b7da320,The Haven,Q: Do you offer a copy trader service,A: We do not offer a copy trader service. Analysts post trade ideas u0026 members can do whatever they want with the information.
cf13e620-fc11-4bb7-b47d-470fb28e7fbe,Huracan Trading Akademia,Do you offer a free trial?,Yes
cf13e620-fc11-4bb7-b47d-470fb28e7fbe,Huracan Trading Akademia,What Telegram Signals do you offer?,We offer Telegram Forex and Crypto signals: GS - XAUUSD
cf13e620-fc11-4bb7-b47d-470fb28e7fbe,Huracan Trading Akademia,Do you offer an automatic trading bot?,We have a solution called Assistant Trading
cf13e620-fc11-4bb7-b47d-470fb28e7fbe,Huracan Trading Akademia,Where can I see the results of Telegram Signals?,You can see full results including history in a spreadsheet on our official website Huracan Trading on page Results.
fff83075-cdda-4244-a4c1-e8b509df9eff,Emmanuel Trading University,Is this community good for beginners?,Absolutely! Emmanuel will walk you step by step on how to begin your trading journey no matter what your experience is.
fff83075-cdda-4244-a4c1-e8b509df9eff,Emmanuel Trading University,What if I don't have capital to start trading?,The community will walk you through exactly how to start making money without risking your own capital.
fff83075-cdda-4244-a4c1-e8b509df9eff,Emmanuel Trading University,Can I cancel at anytime?,Absolutely!
fff83075-cdda-4244-a4c1-e8b509df9eff,Emmanuel Trading University,Can I start trading even if I'm under 18?,100%! The sooner you start... The more you can make.
