Record ID,Whop Community,Question,Answer
fe9e48c8-b313-4be8-93b3-24cd305d3a2d,ItsYodaTrades Spectator,How can I benefit from the live trading challenge?,Follow and learn from each strategy as we aim to reach $1.2M capital
f6793ec6-52d8-4245-aa02-b4fde8a55edd,Fractal Time,Was bietet dieser Discord-Server?,Exklusiven Zugang zu täglichen Live-Trading-Sitzungen
f6793ec6-52d8-4245-aa02-b4fde8a55edd,Fractal Time,Wer leitet den Server und welche Erfahrung hat er?,Der Server wird von Denis geleitet
f6793ec6-52d8-4245-aa02-b4fde8a55edd,Fractal Time,Ist dieser Discord-Server für Anfänger geeignet?,Ja
f6793ec6-52d8-4245-aa02-b4fde8a55edd,Fractal Time,Wie oft finden die Live-Trading-Sitzungen statt?,Tägliche Live-Trading-Sitzungen mit Echtzeit-Strategien.
f6793ec6-52d8-4245-aa02-b4fde8a55edd,Fractal Time,Wie kann ich Mitglied werden?,Klicke auf den Link und folge den Anweisungen zur Zahlung der Mitgliedsgebühr.
e15d673b-af5d-4ca0-a782-dd4e4d8e77cc,Pinnacle Trades Lifetime,What are trading signals?,Trading signals are trade ideas we send out in live-time to our Discord members every morning to profit from.
e15d673b-af5d-4ca0-a782-dd4e4d8e77cc,Pinnacle Trades Lifetime,What is your winrate?,We currently maintain an 82% winrate across all trades. Never overrisk
e15d673b-af5d-4ca0-a782-dd4e4d8e77cc,Pinnacle Trades Lifetime,Can I take out my money at any time?,Absolutely! It sits in your trading account
e15d673b-af5d-4ca0-a782-dd4e4d8e77cc,Pinnacle Trades Lifetime,Where can I find more answers?,In the #faq section of our free Discord!
2eede88c-6574-42d4-b36e-fc2836cb898d,NBA - Signals Free Community,Hvor lenge er jeg medlem i Discord gruppen for den summen jeg betaler?,Avtalen våre er årlig
2eede88c-6574-42d4-b36e-fc2836cb898d,NBA - Signals Free Community,Hva er det jeg får i kurset?,Du vil lære alt fra A til Å innenfor daytrading
2eede88c-6574-42d4-b36e-fc2836cb898d,NBA - Signals Free Community,Kommer prisen til kurset til å gå opp?,Ja
ec796251-b0d1-464b-899f-428110fc0ef5,KurrencyFreaks Free Course,What do I need to start the KurrencyFreaks Free Trading Course?,All you need is a computer and an internet connection. No prior trading experience is required.
ec796251-b0d1-464b-899f-428110fc0ef5,KurrencyFreaks Free Course,How can I access the live trading sessions?,Live trading sessions are accessible through our platform
2472d062-d9a9-473d-91ae-acb37a27802f,SHEEN SPOT ASIA Dividers,How do I know these tools will be better than an average indicator?,Try for free and see for yourself!
2472d062-d9a9-473d-91ae-acb37a27802f,SHEEN SPOT ASIA Dividers,What is your Refund Policy?,If you are not happy you can request a full refund within 7 days of purchase which will be processed within 28 days.
2472d062-d9a9-473d-91ae-acb37a27802f,SHEEN SPOT ASIA Dividers,Is there help and support available?,Users can join Telegram for insight and information on the products
9ef92290-fa4b-42a1-8669-9979d8e3b7dc,Trading Secrets Elite,What is included in the live trading room access?,You can observe futures traders like Jay Pelle and Dr. Strangelove in real-time.
9ef92290-fa4b-42a1-8669-9979d8e3b7dc,Trading Secrets Elite,How can I benefit from the trading education offered?,You will learn effective trading systems that are proven to work
ed8fa178-620a-4215-9657-1f24f501bc22,Benet Profits Complete,What trading strategies are covered?,We cover scalping
ed8fa178-620a-4215-9657-1f24f501bc22,Benet Profits Complete,How does the 1-on-1 mentorship work?,Our mentorship provides individual coaching tailored to your trading goals and challenges.
68c7cbf6-0a37-4350-96d0-6024739bac0e,FocusTradingDE Free Community,Whats the Difference between Gold-Bot and FTMO-Bot?,They are using a different Strategy. FTMO-Bot does up to 3% Profit a Day and Gold-Bot does up to 5% Profit a Day.
68c7cbf6-0a37-4350-96d0-6024739bac0e,FocusTradingDE Free Community,How does it work after the Purchase?,You will get the Bot with Text- and Videoinstructions per Mail. The Bot gets Installed into the MT4 after.
68c7cbf6-0a37-4350-96d0-6024739bac0e,FocusTradingDE Free Community,On how many Accounts can i use the Bot?,The 1-Month Testversion you can use on only 1 Account. The Lifetime Version you can use on unlimited Accounts.
68c7cbf6-0a37-4350-96d0-6024739bac0e,FocusTradingDE Free Community,How long takes the Installation and is it hard to Install?,The Installation takes maximum 5min and its pretty easy to Install.
7b9ce93e-7754-43b3-a620-0839e2ef0780,Marshall Forex Community,How do Marshall's Forex Signals stand out in accuracy?,Our signals are derived from advanced analytics and market experience
7b9ce93e-7754-43b3-a620-0839e2ef0780,Marshall Forex Community,What kind of support can I expect in the Premium Forex Community?,The community provides interactive support
7b9ce93e-7754-43b3-a620-0839e2ef0780,Marshall Forex Community,How often are Real-Time Updates provided?,Updates are provided frequently throughout the day to keep traders informed with the latest market trends and news.
92647261-4355-49f6-bdb6-fbe84a12e9c7,Cool Trading Lemon Pro,Are the trading strategies suitable for beginners?,Yes
92647261-4355-49f6-bdb6-fbe84a12e9c7,Cool Trading Lemon Pro,Can I use the strategies on any market or asset?,Yes
92647261-4355-49f6-bdb6-fbe84a12e9c7,Cool Trading Lemon Pro,Can I use the indicator on its own or does it need to be combined with other tools?,The indicator can be used on its own
92647261-4355-49f6-bdb6-fbe84a12e9c7,Cool Trading Lemon Pro,What is your win/rate?,I have a 64% to 91% win rate
92647261-4355-49f6-bdb6-fbe84a12e9c7,Cool Trading Lemon Pro,How many trades do you usually take day?,I recommend 1 high-quality trade idea per day.
9b6c4d27-6c44-4bd5-815a-ab29697ce23f,Blue Vision FX,What resources are provided as part of the mentorship course?,Participants receive access to educational materials
9b6c4d27-6c44-4bd5-815a-ab29697ce23f,Blue Vision FX,What is a Forex trading mentorship course?,An intensive program offering personalized guidance
9b6c4d27-6c44-4bd5-815a-ab29697ce23f,Blue Vision FX,Who is eligible to enroll in a Forex trading mentorship course?,Open to traders of all experience levels
9b6c4d27-6c44-4bd5-815a-ab29697ce23f,Blue Vision FX,What can I expect from the mentorship sessions?,Personalized guidance from experienced traders
9b6c4d27-6c44-4bd5-815a-ab29697ce23f,Blue Vision FX,Is there ongoing support after completing the mentorship course?,Yes
a8815e17-1e1c-4b55-96ea-04df3e7f4797,Ark_Trader Free Community,What is the fees for joining?,$$10 Monthly.
a8815e17-1e1c-4b55-96ea-04df3e7f4797,Ark_Trader Free Community,How long have you been in the market?,We have team of traders with 5+ years of experience.
70d64062-8e11-4735-b340-78fbe44a6d87,Forex Titans Titan Membership,What is the TItan's AI Bot?,Our proprietary Titan's AI Bot is a cutting-edge machine learning algorithm that automatically trades for us.
70d64062-8e11-4735-b340-78fbe44a6d87,Forex Titans Titan Membership,What should I do if I encounter issues with the Forex Titans Trading Bot?,Contact our support team for assistance in troubleshooting and resolving any technical issues.
70d64062-8e11-4735-b340-78fbe44a6d87,Forex Titans Titan Membership,Do I need any prior experience to use Forex Titans?,Anyone can use Forex Titans as long as they're interested in making money with minimal time investment.
f5ef9fd3-4e74-4aa2-898d-baf990a0220a,swiftpip,we do not offer any refunds for the subscription,no refunds
f5ef9fd3-4e74-4aa2-898d-baf990a0220a,swiftpip,What support is provided during the course?,Comprehensive support is provided throughout your trading journey.
e0dd708d-e973-4330-8029-278498a4b7a4,Olympus Trading Premium,I’m new to trading,Certainly! In our Discord
e0dd708d-e973-4330-8029-278498a4b7a4,Olympus Trading Premium,Is the subscription refundable?,The subscription is non-refundable
018fa14f-8813-4417-9c47-4064d38e4c28,The Trading Lab VIP,Is it possible to get a refund if I don't like the content after joining?,Yes
018fa14f-8813-4417-9c47-4064d38e4c28,The Trading Lab VIP,Do you only trade forex?,The main focus in the discord is forex trading. But we also have a dedicated channel for Crypto trading only.
018fa14f-8813-4417-9c47-4064d38e4c28,The Trading Lab VIP,Do you provide clear trading signal with entry,Yes. You will not only have access to our market overview every morning
018fa14f-8813-4417-9c47-4064d38e4c28,The Trading Lab VIP,Do you do live trading session / livestream?,Yes
32121c8c-53b1-4b3d-ae71-d7ce6870b2df,Aktualności,Jak mogę dołączyć do MP Forex Trading room?,Wystarczy zarejestrować się na naszej stronie i dołączyć do społeczności.
32121c8c-53b1-4b3d-ae71-d7ce6870b2df,Aktualności,Czy potrzebuję doświadczenia,Nie
54a2b156-22eb-4bdf-90d9-75311c318f5f,Platinum Forex Signals,How accurate are the forex signals provided?,Our signals are backed by expert analysis and have a proven track record of high accuracy.
54a2b156-22eb-4bdf-90d9-75311c318f5f,Platinum Forex Signals,What kind of support is available to subscribers?,We offer 24/7 customer support and regular market insights to assist you.
133c1af1-a207-4ee8-84f4-8c180684a7d6,Palisade Pulse Trading,1. What is Palisade Pulse?,Palisade Pulse is a sophisticated trading signal indicator that provides precise buy and sell signals for various market
133c1af1-a207-4ee8-84f4-8c180684a7d6,Palisade Pulse Trading,2. How does Palisade Pulse generate signals?,Palisade Pulse analyzes real-time market data using advanced algorithms to identify optimal entry and exit points.
133c1af1-a207-4ee8-84f4-8c180684a7d6,Palisade Pulse Trading,3. Is Palisade Pulse suitable for beginners?,Yes
133c1af1-a207-4ee8-84f4-8c180684a7d6,Palisade Pulse Trading,4. How do I install Palisade Pulse?,Upon purchase
133c1af1-a207-4ee8-84f4-8c180684a7d6,Palisade Pulse Trading,5. What markets does Palisade Pulse support?,Palisade Pulse is compatible with a wide range of markets
8b6a44ff-aa57-4e69-9dca-c605ce1fe394,Kaizen Trading Premium,What is our main goal?,Kaizen's main goal is to turn everyone in the community into knowledgeable and confident traders!
8b6a44ff-aa57-4e69-9dca-c605ce1fe394,Kaizen Trading Premium,What's Our Refund Policy?,We do not accept refunds
8449bfc8-e22b-44a2-8c95-7a6c8cb32c09,Shaolin Trading Dojo,What type of content is included?,Our focus is on live broadcasts and interactive sessions
8449bfc8-e22b-44a2-8c95-7a6c8cb32c09,Shaolin Trading Dojo,How can I participate in Q/A sessions?,Join our live sessions and engage through chat and voice for direct interaction with experts.
58ed069c-2b9a-4454-b747-5c3f4ed12dbe,Buenos Trades,¿Qué conocimientos previos debo tener para empezar la formación en el mundo bursátil?,Ninguno! Solo ser un estudiante disciplinado y estar en capacidad de manejar un computador y sus herramientas.
58ed069c-2b9a-4454-b747-5c3f4ed12dbe,Buenos Trades,¿Qué herramientas necesito para empezar?,Solo necesitas un computador con conexión a internet y tu celular inteligente.
58ed069c-2b9a-4454-b747-5c3f4ed12dbe,Buenos Trades,¿Cuánto capital necesitas para empezar?,No es necesario poseer grandes capitales para empezar en el trading
58ed069c-2b9a-4454-b747-5c3f4ed12dbe,Buenos Trades,¿Qué tan seguro es el retorno de mi inversión?,Mi método tiene un 90% de eficacia! Pero no estamos relacionados con ningún broker
fdc7ccc0-4e1f-425f-8e4a-5e2e5e8ba09e,Free Discord Access,How often are trade alerts updated on the Discord channel?,Trade alerts are updated in real time as market conditions shift.
fdc7ccc0-4e1f-425f-8e4a-5e2e5e8ba09e,Free Discord Access,Can I get personal assistance from the team if I'm struggling in trading?,Yes
fdc7ccc0-4e1f-425f-8e4a-5e2e5e8ba09e,Free Discord Access,What does my subscription to your Discord community include?,Your subscription includes real-time trade alerts
fdc7ccc0-4e1f-425f-8e4a-5e2e5e8ba09e,Free Discord Access,Do I need to be experienced in trading to join the community?,No
fdc7ccc0-4e1f-425f-8e4a-5e2e5e8ba09e,Free Discord Access,What type of trading alerts will I receive in the Discord community?,You'll receive trade alerts related to Options
4446ee3a-47f3-48cf-9ee4-c15a0adb5e0d,Gabe Trades VIP,How can I join the live trading sessions?,Once you become a VIP member
4446ee3a-47f3-48cf-9ee4-c15a0adb5e0d,Gabe Trades VIP,What is included in the daily recaps?,Daily recaps cover trade reviews
8b079edb-89af-46c6-82b0-08f45a6b73db,333 Trading Program,What markets does the 333 Trading Program cover?,The program covers Forex
8b079edb-89af-46c6-82b0-08f45a6b73db,333 Trading Program,Are there flexible learning options available?,Yes
5df38c3a-c409-4cb4-8a94-00dcd53e2e03,fx.vdriixn trades📊,Reembolso?,Despues de someter el pago y acceder a nuestros grupos y plataformas privadas no sera posible un reembolso.
5df38c3a-c409-4cb4-8a94-00dcd53e2e03,fx.vdriixn trades📊,Cuanto podria hacer mensual?,Ninguna academia de trading te puede asegurar alguna cantidad mensual
5df38c3a-c409-4cb4-8a94-00dcd53e2e03,fx.vdriixn trades📊,Como se dara el curso?,El curso se dara en clases en vivo via zoom 5 dias a la semana de Lunes a Viernes
5df38c3a-c409-4cb4-8a94-00dcd53e2e03,fx.vdriixn trades📊,Que aprendere en el curso?,Nos aseguraremos de que usted salga con conocimiento
5df38c3a-c409-4cb4-8a94-00dcd53e2e03,fx.vdriixn trades📊,Cuanto dura este curso?,El curso se dara a cabo 5 dias a las semana de lunes a viernes por 2 semanas seguidas (10 dias).
b5514fd4-97dc-4998-81bb-0b192723fe01,Master Trader Club,What language will the Mentorship be?,Hebrew.
b5514fd4-97dc-4998-81bb-0b192723fe01,Master Trader Club,Is there a fee for joining the waitlist?,No
0eb0649b-5693-4cf4-b8c9-5147814003cb,ManilaFX Monthly,Can I cancel anytime?,Yes
0eb0649b-5693-4cf4-b8c9-5147814003cb,ManilaFX Monthly,What times are signals generally given?,Our signals are given during London u0026 Asia open
85c9692b-f717-40e2-b93e-98db0293859c,MadMoney Trading,What pairs do you trade?,We like to trade GOLD
85c9692b-f717-40e2-b93e-98db0293859c,MadMoney Trading,What is MadMoney?,MadMoney is an exclusive trading group where our vision is to empower traders with the right knowledge and tools.
f890f942-e463-4a54-b7a4-a532b2157d56,MarsTrades Affiliates,Social Media?,Instagram: _marstrades
f890f942-e463-4a54-b7a4-a532b2157d56,MarsTrades Affiliates,What is your refund policy?,We offer full refunds within 14 days from the date of purchase! No Refunds afterwards!
1f5d05cc-0076-4158-a40f-e54c8ef8d2b3,Free Discord & Signals,Signal time?,We send signals in discord daily. At 9am-11am EST
1f5d05cc-0076-4158-a40f-e54c8ef8d2b3,Free Discord & Signals,Do you send SL and TP?,Yes we send SL and TPs in every signal!
1f5d05cc-0076-4158-a40f-e54c8ef8d2b3,Free Discord & Signals,Are the signals prop friendly?,This depends on the prop firms rules. Please read your firms FAQ for more info
1f5d05cc-0076-4158-a40f-e54c8ef8d2b3,Free Discord & Signals,Can I cancel anytime?,Yes you can cancel at anytime
557395fa-7ae3-4658-af61-d65e46f8854d,Money Takers Full Access,What is the MTC Trading Community?,A platform for traders to enhance skills
557395fa-7ae3-4658-af61-d65e46f8854d,Money Takers Full Access,Who can join the MTC Trading Community?,Open to traders of all levels
557395fa-7ae3-4658-af61-d65e46f8854d,Money Takers Full Access,What benefits do members of the MTC Trading Community receive?,Access to webinars
557395fa-7ae3-4658-af61-d65e46f8854d,Money Takers Full Access,How can I join the MTC Trading Community?,Visit our website and sign up for a membership.
557395fa-7ae3-4658-af61-d65e46f8854d,Money Takers Full Access,What does the MTC Trading Course cover?,Topics include market fundamentals
98f63322-f596-459f-b89b-631344f5f15d,PoiSzn Free Community,What is your Refund Policy?,Once Payment has been made the user will receive a full months access to the server. Unfortunately there are no refunds
98f63322-f596-459f-b89b-631344f5f15d,PoiSzn Free Community,Are there Daily Livestreams?,Yes there are
98f63322-f596-459f-b89b-631344f5f15d,PoiSzn Free Community,Does your System work on crypto?,The System and Teachings are universal to any market and working especially well in Crypto
98f63322-f596-459f-b89b-631344f5f15d,PoiSzn Free Community,Are there any 1 on 1 Times with you?,Each Member is entitled to 1 x 1on1 lesson via zoom p/m booked on calendly
49607513-25c4-433f-b72f-7c15c9cc8348,WTO Mentorship,What do I focus on when helping an individual?,Market Structure 📈📉 and building a trading plan with rules to follow👤
49607513-25c4-433f-b72f-7c15c9cc8348,WTO Mentorship,Do you host group sessions in your community?,Yes‼️ Weekly sessions via Telegram u0026 Discord.
49607513-25c4-433f-b72f-7c15c9cc8348,WTO Mentorship,Refund Policy / Subscription Cancellation,No Refunds - Cancel Anytime! Cancellations via WHOP.
49607513-25c4-433f-b72f-7c15c9cc8348,WTO Mentorship,What assets do you trade?,Favorite pair: 💷GBP💱💴JPY. Trade all assets: Majors
49607513-25c4-433f-b72f-7c15c9cc8348,WTO Mentorship,Who is this for?,Both beginner u0026 experienced traders enhancing their skills!
e016efd0-de73-49f0-843e-aa0aa093b14f,Trade With Rick Order Flow,What is included in the live trading environment?,Live market commentary with explanations of trades and strategies.
e016efd0-de73-49f0-843e-aa0aa093b14f,Trade With Rick Order Flow,How do the pre-market plans help in trading?,They provide written market insights and scenarios to execute or reference.
68919048-81f6-43db-a53c-5803d58c8493,VSANI,What is the duration of each live call?,Each live call typically lasts around one hour
68919048-81f6-43db-a53c-5803d58c8493,VSANI,How can I access the Discord chats?,You will receive an invitation link to join the Discord chats upon enrolling in the course.
64199942-0f3d-4ac2-86e9-b97bf16d152d,Swiss Trading Hall Advanced,How much profit can you make with copytrading?,Our safest copytrading profile delivers consistent returns of 10-25% per month and has been trading live for 1 year.
64199942-0f3d-4ac2-86e9-b97bf16d152d,Swiss Trading Hall Advanced,How will we get alerted on trading signals?,I will share my trading signals exclusively within a private section on my Discord server
64199942-0f3d-4ac2-86e9-b97bf16d152d,Swiss Trading Hall Advanced,Are there any risks?,Indeed
f33dcfad-0aa5-47c4-92ec-bda5f36debe2,$AV Crypto Community,How Does Crypto Chat Work?,We show you how to set up your wallet and send plays your way.
f33dcfad-0aa5-47c4-92ec-bda5f36debe2,$AV Crypto Community,How active and engaged is the community within $AV group?,The group is active with discussions and trading sessions.
f33dcfad-0aa5-47c4-92ec-bda5f36debe2,$AV Crypto Community,Is $AV Education good for beginners?,Absolutely
f33dcfad-0aa5-47c4-92ec-bda5f36debe2,$AV Crypto Community,What kind of trading strategies and analysis techniques are typically shared or discussed within the $AV group?,We go over Smart Money Concepts.
429422fd-7187-4425-8798-657b5070ebd0,TradeAura Premium,What time will the signals be sent?,From 7:30 am – 11:00 am central time
429422fd-7187-4425-8798-657b5070ebd0,TradeAura Premium,What pairs do you trade?,Strictly USD/CAD and XAU/USD (Gold)
429422fd-7187-4425-8798-657b5070ebd0,TradeAura Premium,What percent do you average monthly?,Around 3% weekly so about 12 percent every month on average
429422fd-7187-4425-8798-657b5070ebd0,TradeAura Premium,Should I trade my own capital or use a funding company?,I recommend a funding company that way you can make more money based on percentage (Ex. 10% of $100
e570c548-1125-4b5a-aa52-f90900c6511b,Trading Time Theory Coaching,Is this lifetime access?,Options available include  monthly subscription or access to lifetime. You can choose.
e570c548-1125-4b5a-aa52-f90900c6511b,Trading Time Theory Coaching,Do you offer live calls?,Yes. We have weekly live calls inside the forum.
e570c548-1125-4b5a-aa52-f90900c6511b,Trading Time Theory Coaching,What's your refund policy?,We offer full refunds within 3 days of purchasing.
ecdea8fb-375d-4f07-b9d3-c174c9acf484,Copy FX Fund,Do I need to use your broker?,Yes
ecdea8fb-375d-4f07-b9d3-c174c9acf484,Copy FX Fund,And the drawdown to expect?,The largest seen in 4 years is 22%. Risk only what you can afford to lose.
ecdea8fb-375d-4f07-b9d3-c174c9acf484,Copy FX Fund,Do I need to do anything to start making money?,Fund your broker account. We manage it and copy trades. Just provide your MT4 account info.
ecdea8fb-375d-4f07-b9d3-c174c9acf484,Copy FX Fund,What kind of return can I expect?,Expect 0.3-0.6% daily
ecdea8fb-375d-4f07-b9d3-c174c9acf484,Copy FX Fund,Is there a minimum funding requirement to get started?,Yes
24abf4cd-4d34-4f3f-ade6-b3720462ea8c,Daniel Savage Mentorship,How often are the live trade alerts sent?,Live trade alerts are sent as opportunities arise
24abf4cd-4d34-4f3f-ade6-b3720462ea8c,Daniel Savage Mentorship,Can I interact with other traders in the community?,Yes
bbb4ea0b-575d-4b20-aaa0-042200813b15,Market Fluidity University,What is your refund policy ?,For subscription services
bbb4ea0b-575d-4b20-aaa0-042200813b15,Market Fluidity University,How long will it take me to learn  ?,This course will guide you step-by-step. You can learn on your own time. Typically it takes 3 months to grasp basics.
438b5e7d-58ea-49a6-b7fe-d6e9ea824bcf,Free Resources,Are new traders welcome?,Yes
438b5e7d-58ea-49a6-b7fe-d6e9ea824bcf,Free Resources,How do I join the Discord server?,Once your purchase is confirmed
438b5e7d-58ea-49a6-b7fe-d6e9ea824bcf,Free Resources,Do I need any special software for your discord trading group?,No
438b5e7d-58ea-49a6-b7fe-d6e9ea824bcf,Free Resources,How does 1-on-1 coaching work in the discord group?,Our experts provide customized advice based on your trading experience. This happens within a private zoom meeting.
438b5e7d-58ea-49a6-b7fe-d6e9ea824bcf,Free Resources,What type of support channels are available to me as a member?,We provide 24/7 support. Use the discord to open a ticket to reach out to our team.
7fdd521d-5bb8-4842-ae20-9e984e79d2f2,Signal Saviour Premium,Will I make money?,Yes
7fdd521d-5bb8-4842-ae20-9e984e79d2f2,Signal Saviour Premium,What if I want a refund?,All payments are finalised
7fdd521d-5bb8-4842-ae20-9e984e79d2f2,Signal Saviour Premium,Do you have to know a lot about trading?,No you don't
7fdd521d-5bb8-4842-ae20-9e984e79d2f2,Signal Saviour Premium,Are you guys good at trading?,Yes
7fdd521d-5bb8-4842-ae20-9e984e79d2f2,Signal Saviour Premium,Why are you so cheap?,To allow all ages and abilities to be able to join
1e8901e2-99dc-4664-aca2-546bb52af590,Forensic Forex Mentorship,Welcome to my private community!,You either in or you out.
1e8901e2-99dc-4664-aca2-546bb52af590,Forensic Forex Mentorship,What concepts will be covered in the course?,We'll delve into Forex charts
8abefe3c-b340-4cf6-b27f-b4c78066e502,Chopperz Mentorship,Will I be able to cancel this subscription?,Yes
8abefe3c-b340-4cf6-b27f-b4c78066e502,Chopperz Mentorship,Do you share trades?,Yes
8abefe3c-b340-4cf6-b27f-b4c78066e502,Chopperz Mentorship,Is this academy suitable for both beginners and experienced traders?,100%. We welcome all types of traders
bc4cf758-c888-48f6-af47-e1e9cf35df86,VIP RAVCAPITAL FREE Channel,Quels sont vos politiques de remboursement ?,Il y a pas de remboursement
bc4cf758-c888-48f6-af47-e1e9cf35df86,VIP RAVCAPITAL FREE Channel,Quels sont les risques de trades ?,Nous risquons 1 % par transaction
73ed6e41-ba66-41aa-8cc9-da9b348554d5,Inner Market Mastery,What is the main focus of TGFX Academy?,The focus is on advanced trading education and live market insights.
73ed6e41-ba66-41aa-8cc9-da9b348554d5,Inner Market Mastery,How can I join the TGFX private Discord?,Joining TGFX Academy grants automatic access to our private Discord.
cc8ad717-077e-4bf5-8bae-5f6667ee6d61,Forex for Beginners FXA,How many lessons does the course have?,5 sections - 19 videos and 7 PDFs
cc8ad717-077e-4bf5-8bae-5f6667ee6d61,Forex for Beginners FXA,Is the course entirely free?,Yes
cc8ad717-077e-4bf5-8bae-5f6667ee6d61,Forex for Beginners FXA,Who are the mentors of FXA?,FXA is a team of 6 traders with over 5 years experience each.
cc8ad717-077e-4bf5-8bae-5f6667ee6d61,Forex for Beginners FXA,What level will I be after finishing the course?,You will be at an intermediate level.
68c9ea28-319c-4f07-aad2-e676aad42c92,Ferdo Trading Coaching,Which days do you trade?,At the beginning of the week I will post the days I will be trading on Discord.
68c9ea28-319c-4f07-aad2-e676aad42c92,Ferdo Trading Coaching,Can you help me pass my funded account?,Absolutely! We coach you on how to pass your funded account. We give you tips to pass it quickly.
68c9ea28-319c-4f07-aad2-e676aad42c92,Ferdo Trading Coaching,Which assets do you live trade?,We trade the Nasdaq E-Mini Futures and the ES E-Mini Futures on a intra-day basis. We swing trade Bitcoin.
68c9ea28-319c-4f07-aad2-e676aad42c92,Ferdo Trading Coaching,How many trades do you take per day?,We only take two (2) trades per day. This way we minimize over trading and revenge trading.
57bdaf87-236d-4d5e-b8e1-ef3e8f94b3c4,MFX Forex Trading Lifetime,How do I join the Discord community?,After subscribing
57bdaf87-236d-4d5e-b8e1-ef3e8f94b3c4,MFX Forex Trading Lifetime,Can I cancel my subscription at any time?,Yes
57bdaf87-236d-4d5e-b8e1-ef3e8f94b3c4,MFX Forex Trading Lifetime,How quickly can I expect to see results?,Results vary depending on your commitment and effort. But after max 3 months you should see some major progress.
